Text,Type
steve mcqueen,Actor
thrilling motorcycle chase in this,Plot
greatest of all,Opinion
ww 2 prison escape movies,Plot
liza minnelli,Actor
joel gray,Actor
won oscars,Award
1972,Year
that follows nightclub entertainers in berlin as the nazis come to power,Plot
tom hanks,Actor
julia roberts,Actor
hanks who plays a down on his luck average guy who goes back to college and gets taught by roberts,Plot
making fun of macgyver by re enacting scenes similar to his movies,Plot
animated,Genre
based on a classic theodor geisel children s novel,Origin
a young boy s quest to save the trees,Plot
1981,Year
mel gibson,Actor
takes place in a post apocalyptic world in australia,Plot
steven speilberg,Director
supernatural,Genre
haunted house,Plot
1997,Year
julie andre,Actor
she sings and flies with an umbrella,Plot
dick van dyke,Actor
jbiebs,Actor
does his concerts,Plot
banksy,Director
john travolta,Actor
1959,Year
american thriller,Genre
alfred hitchcock,Director
cary grant,Actor
eva marie saint,Actor
80 s,Year
comedy film,Genre
dustin hoffman,Actor
terri garr,Actor
character dresses up as a woman to land a job,Plot
teenage boy getting bit by a radioactive arachnid and gaining super powers,Plot
blockbuster,Opinion
science fiction,Genre
will smith,Actor
tommy lee jones,Actor
undercover agents who fight intergalactic beings,Plot
a little girl s house accidentally lands on top of a witch and the witches sister vows revenge,Plot
baseball film,Genre
dennis quaid,Actor
based on the true story of pitcher jim morris,Origin
1939,Year
clark gable,Actor
vivien leigh,Actor
famous song by the beatles,Soundtrack
and written by paul mccartney,Origin
the wimpy main character befriends a fierce animal to the dismay of his viking community,Plot
billy bob thornton,Actor
oscar for writing,Award
1979,Year
musical,Genre
based on the life and career of the film s director,Plot
bob fosse,Director
pivotal,Opinion
counterculture,Genre
paul newman,Actor
2012,Year
american pie chain,Relationship
jason biggs alyson hannigan,Actor
graphic novel,Genre
mickey rourke,Actor
jessica alba carla gugino bruce willis and tobey maguire,Actor
2000,Year
story of two warriors chasing down a stolen sword run into a skilled nobleman s daughter,Plot
leo dicaprio,Actor
he enters the human mind through their dreams,Plot
a young girl lets three strangers escort her to see a strange gentleman that is fond of magic tricks,Plot
1967,Year
a group of enlisted convicts in wwii led by,Plot
lee marvin,Actor
steven spielberg,Director
tom hanks,Actor
an army captain on a mission to rescue the sole survivor of four enlisted brothers after the invasion of normandy,Plot
luke skywalker,Character_Name
breaking free from his aunt and uncle to rescue,Plot
princess leia,Character_Name
couple who go over the hill,Plot
julia roberts,Actor
middle aged woman who decides to embark on an adventure and goes to bali,Plot
a manhattan couple are suddenly dealing with the issue of employment and move to a community where free love rules,Plot
a group of seemingly unrelated characters being isolated and tortured by the villain,Plot
jigsaw,Character_Name
animated,Genre
a clown fish who has lost his son,Plot
fannie flagg novel,Origin
jessica tandy,Actor
kathy bates,Actor
tells the tale of a strong bond between two depression era women,Plot
jonah hill,Actor
bring an alcoholic english rockstar playboy nuisance to his destination before a set time,Plot
norman bates,Character_Name
famous shower scene in cinematic history,Opinion
a street urchin accidentally meets princess,Plot
jasmine,Character_Name
who is in the city undercover they love each other but she can only marry a prince,Plot
myth,Genre
keiser soze,Character_Name
recounted,Plot
perspectives,Plot
jeremy renner,Actor
the sergeant of an army bomb squad unit during the iraq war,Plot
1972,Year
american,Genre
epic,Opinion
crime,Genre
a man who has an offer you ca n t refuse,Plot
classic literary novel written by emily bronte,Origin
about a boy named,Plot
heathcliff,Character_Name
gene kelly,Actor
classic,Opinion
three friends struggling to find work in paris things become more complicated when two of them fall in love with the same woman,Plot
2012,Year
chris pine,Actor
tom hardy,Actor
cia agents fighting each other over a girl,Plot
a man who goes on adventures and meets both giants and very small people,Plot
2010,Year
jake gyllenhaal,Actor
pg 13,Director
disney,Genre
unappreciated villain in a video games leaves his game and enters others,Plot
a rambunctious rock star was a,Plot
spin off to the comedy forgetting sarah marshall,Relationship
quentin tarantino,Director
a jewelry heist that goes wrong,Plot
based on the book by j r r tolkien,Origin
hobbits wizards elves and a dark magic,Plot
suspense horror,Genre
has a mind blowing character who is portrait as mentally ill,Plot
retelling of the classic fairytale,Origin
does n t have the princess falling in love with the prince at the end,Plot
1982,Year
james earl jones,Actor
thulsa doom,Character_Name
first box office success,Opinion
arnold schwarzenegger,Actor
classic horror,Genre
a young priest and an old priest removing a demon spirit from a little girl,Plot
the equally loved and hated pop icon,Plot
who some say looks like ellen degeneres,Plot
gangster,Genre
tom hanks,Actor
based on an acclaimed graphic novel,Origin
leonardo dicaprio,Actor
he goes into other people s dreams and tries to fix things,Plot
1995,Year
detectives following a serial killer who showcases dante s deadly sins,Plot
2011,Year
comedy,Genre
latest instalment,Relationship
john cho,Character_Name
kal penn,Character_Name
they set out on a quest to find the perfect christmas tree,Plot
scary,Genre
a serial killer who returns to a small town to kill everyone born on the day he supposedly died,Plot
sequel,Relationship
1987,Year
a stock broker seeking to restore his empire,Plot
manufacturer who initially inadvertently saves thousands of jews from certain death during the holocaust,Plot
classic comedy,Genre
mel brooks,Actor
robert de niro,Actor
a boxer s life that,Plot
martin scorsese,Director
jeremy renner,Actor
matt damon,Actor
highly popular,Opinion
book and movie series about espionage,Plot
the trials and effects the civil war have on a rich southern family,Plot
2010,Year
american comedy,Genre
jonah hill,Actor
russell brand,Actor
aldous snow,Character_Name
teen comedy,Genre
a girl whose halloween night is ruined when her brother goes missing,Plot
martin scorsese,Director
robert deniro,Actor
you looking at me,Quote
2011,Year
steve carell,Actor
a guy who has n t dated in awhile learning how to pick up girls,Plot
1981,Year
american cyberpunk action,Genre
john carpenter,Director
