File,Line,Begin Offset,End Offset,Type
train_document.txt,0,0,12,Actor
train_document.txt,0,25,58,Plot
train_document.txt,0,60,74,Opinion
train_document.txt,0,76,100,Plot
train_document.txt,1,0,12,Actor
train_document.txt,1,18,26,Actor
train_document.txt,1,28,37,Award
train_document.txt,1,63,66,Year
train_document.txt,1,74,145,Plot
train_document.txt,2,13,21,Actor
train_document.txt,2,27,39,Actor
train_document.txt,2,53,150,Plot
train_document.txt,3,18,83,Plot
train_document.txt,4,20,27,Genre
train_document.txt,4,34,83,Origin
train_document.txt,4,91,127,Plot
train_document.txt,5,5,8,Year
train_document.txt,5,32,41,Actor
train_document.txt,5,43,94,Plot
train_document.txt,6,5,20,Director
train_document.txt,6,22,33,Genre
train_document.txt,6,46,58,Plot
train_document.txt,7,8,11,Year
train_document.txt,8,22,32,Actor
train_document.txt,8,40,75,Plot
train_document.txt,8,81,93,Actor
train_document.txt,9,24,29,Actor
train_document.txt,9,31,47,Plot
train_document.txt,10,9,14,Director
train_document.txt,11,0,12,Actor
train_document.txt,12,12,15,Year
train_document.txt,12,17,33,Genre
train_document.txt,12,52,67,Director
train_document.txt,12,82,91,Actor
train_document.txt,12,97,111,Actor
train_document.txt,13,19,22,Year
train_document.txt,13,24,34,Genre
train_document.txt,13,47,60,Actor
train_document.txt,13,66,75,Actor
train_document.txt,13,93,137,Plot
train_document.txt,14,22,95,Plot
train_document.txt,15,19,29,Opinion
train_document.txt,15,31,45,Genre
train_document.txt,15,63,72,Actor
train_document.txt,15,78,92,Actor
train_document.txt,15,97,144,Plot
train_document.txt,16,33,126,Plot
train_document.txt,17,5,17,Genre
train_document.txt,17,28,39,Actor
train_document.txt,17,44,88,Origin
train_document.txt,18,2,5,Year
train_document.txt,18,56,66,Actor
train_document.txt,18,72,83,Actor
train_document.txt,19,34,59,Soundtrack
train_document.txt,19,61,89,Origin
train_document.txt,20,30,117,Plot
train_document.txt,21,14,31,Actor
train_document.txt,21,40,56,Award
train_document.txt,22,5,8,Year
train_document.txt,22,10,16,Genre
train_document.txt,22,29,79,Plot
train_document.txt,22,81,89,Director
train_document.txt,23,20,26,Opinion
train_document.txt,23,28,41,Genre
train_document.txt,23,48,58,Actor
train_document.txt,24,5,8,Year
train_document.txt,24,28,45,Relationship
train_document.txt,24,64,90,Actor
train_document.txt,25,11,23,Genre
train_document.txt,25,47,59,Actor
train_document.txt,25,89,144,Actor
train_document.txt,26,5,8,Year
train_document.txt,26,23,110,Plot
train_document.txt,27,29,40,Actor
train_document.txt,27,51,95,Plot
train_document.txt,28,0,99,Plot
train_document.txt,29,12,15,Year
train_document.txt,29,69,111,Plot
train_document.txt,29,113,122,Actor
train_document.txt,30,35,50,Director
train_document.txt,30,68,76,Actor
train_document.txt,30,81,193,Plot
train_document.txt,31,24,37,Character_Name
train_document.txt,31,39,85,Plot
train_document.txt,31,87,99,Character_Name
train_document.txt,32,58,84,Plot
train_document.txt,33,27,39,Actor
train_document.txt,33,53,124,Plot
train_document.txt,34,29,142,Plot
train_document.txt,36,20,103,Plot
train_document.txt,36,105,110,Character_Name
train_document.txt,37,24,31,Genre
train_document.txt,37,47,79,Plot
train_document.txt,38,44,61,Origin
train_document.txt,38,74,86,Actor
train_document.txt,38,92,102,Actor
train_document.txt,38,108,171,Plot
train_document.txt,39,30,39,Actor
train_document.txt,39,52,140,Plot
train_document.txt,40,31,42,Character_Name
train_document.txt,40,57,96,Opinion
train_document.txt,41,20,62,Plot
train_document.txt,41,64,70,Character_Name
train_document.txt,41,72,153,Plot
train_document.txt,42,27,30,Genre
train_document.txt,42,44,54,Character_Name
train_document.txt,42,59,67,Plot
train_document.txt,42,84,95,Plot
train_document.txt,43,36,48,Actor
train_document.txt,43,56,114,Plot
train_document.txt,44,13,16,Year
train_document.txt,44,25,32,Genre
train_document.txt,44,34,37,Opinion
train_document.txt,44,39,43,Genre
train_document.txt,44,56,95,Plot
train_document.txt,45,44,89,Origin
train_document.txt,45,91,107,Plot
train_document.txt,45,109,118,Character_Name
train_document.txt,46,5,14,Actor
train_document.txt,46,16,22,Opinion
train_document.txt,46,28,154,Plot
train_document.txt,47,8,11,Year
train_document.txt,47,19,28,Actor
train_document.txt,47,34,42,Actor
train_document.txt,47,48,89,Plot
train_document.txt,48,34,105,Plot
train_document.txt,49,34,37,Year
train_document.txt,49,51,65,Actor
train_document.txt,49,72,76,Director
train_document.txt,49,78,83,Genre
train_document.txt,50,27,98,Plot
train_document.txt,51,17,46,Plot
train_document.txt,51,48,95,Relationship
train_document.txt,52,30,46,Director
train_document.txt,52,54,84,Plot
train_document.txt,53,31,64,Origin
train_document.txt,53,76,113,Plot
train_document.txt,54,2,16,Genre
train_document.txt,54,29,88,Plot
train_document.txt,55,13,46,Origin
train_document.txt,55,48,116,Plot
train_document.txt,56,5,8,Year
train_document.txt,56,34,49,Actor
train_document.txt,56,54,64,Character_Name
train_document.txt,56,74,97,Opinion
train_document.txt,56,124,144,Actor
train_document.txt,58,5,18,Genre
